time,open,high,low,close,volume
2019-01-07T20:58:00.000000000Z,1.27691,1.27691,1.27677,1.2769,39.0
2019-01-07T20:59:00.000000000Z,1.27691,1.27704,1.27691,1.27704,33.0
2019-01-07T21:00:00.000000000Z,1.27706,1.27709,1.2768,1.2768,44.0
2019-01-07T21:01:00.000000000Z,1.27681,1.27689,1.27679,1.27681,39.0
2019-01-07T21:02:00.000000000Z,1.27679,1.2768,1.27678,1.2768,4.0
2019-01-07T21:03:00.000000000Z,1.27673,1.27675,1.27672,1.27673,9.0
2019-01-07T21:04:00.000000000Z,1.27674,1.27676,1.27674,1.27676,9.0
2019-01-07T21:05:00.000000000Z,1.27676,1.27678,1.27676,1.27677,23.0
2019-01-07T21:06:00.000000000Z,1.27677,1.27677,1.27677,1.27677,5.0
2019-01-07T21:07:00.000000000Z,1.27678,1.27679,1.27677,1.27678,14.0
2019-01-07T21:08:00.000000000Z,1.27672,1.27672,1.27671,1.27671,5.0
2019-01-07T21:09:00.000000000Z,1.27671,1.27674,1.27669,1.27674,13.0
2019-01-07T21:10:00.000000000Z,1.27674,1.27674,1.27674,1.27674,1.0
2019-01-07T21:11:00.000000000Z,1.27676,1.27677,1.27676,1.27676,3.0
2019-01-07T21:12:00.000000000Z,1.27675,1.27676,1.27675,1.27676,4.0
2019-01-07T21:13:00.000000000Z,1.27679,1.27695,1.27676,1.27694,42.0
2019-01-07T21:14:00.000000000Z,1.27694,1.27708,1.27694,1.27707,22.0
2019-01-07T21:18:00.000000000Z,1.27707,1.27708,1.27706,1.27707,8.0
2019-01-07T21:19:00.000000000Z,1.27708,1.27709,1.27707,1.27708,6.0
2019-01-07T21:22:00.000000000Z,1.27707,1.27708,1.27707,1.27708,4.0
2019-01-07T21:23:00.000000000Z,1.27707,1.27708,1.27707,1.27707,3.0
2019-01-07T21:24:00.000000000Z,1.27707,1.27707,1.27707,1.27707,1.0
2019-01-07T21:25:00.000000000Z,1.27708,1.27708,1.27706,1.27706,3.0
2019-01-07T21:26:00.000000000Z,1.27708,1.27713,1.27708,1.27712,39.0
2019-01-07T21:27:00.000000000Z,1.27713,1.27713,1.2771,1.2771,77.0
2019-01-07T21:28:00.000000000Z,1.27711,1.27716,1.2771,1.27716,21.0
2019-01-07T21:29:00.000000000Z,1.27716,1.2772,1.27716,1.2772,5.0
2019-01-07T21:30:00.000000000Z,1.27713,1.27713,1.27707,1.27712,15.0
2019-01-07T21:31:00.000000000Z,1.27724,1.27733,1.27724,1.2773,18.0
2019-01-07T21:33:00.000000000Z,1.27732,1.27732,1.27721,1.27724,21.0
2019-01-07T21:34:00.000000000Z,1.27723,1.27726,1.27723,1.27724,6.0
2019-01-07T21:35:00.000000000Z,1.27725,1.27727,1.27725,1.27727,13.0
2019-01-07T21:36:00.000000000Z,1.27719,1.27729,1.27719,1.27729,14.0
2019-01-07T21:38:00.000000000Z,1.27728,1.27734,1.27728,1.27734,29.0
2019-01-07T21:39:00.000000000Z,1.27733,1.27738,1.27733,1.27736,24.0
2019-01-07T21:40:00.000000000Z,1.27736,1.27739,1.27735,1.27738,31.0
2019-01-07T21:41:00.000000000Z,1.27737,1.27742,1.27733,1.27734,30.0
2019-01-07T21:42:00.000000000Z,1.27725,1.27731,1.27725,1.27731,12.0
2019-01-07T21:44:00.000000000Z,1.2773,1.27731,1.27722,1.27724,20.0
2019-01-07T21:45:00.000000000Z,1.27715,1.27715,1.27708,1.27708,11.0
2019-01-07T21:46:00.000000000Z,1.27703,1.27703,1.27701,1.27701,10.0
2019-01-07T21:47:00.000000000Z,1.27702,1.27702,1.27698,1.27699,11.0
2019-01-07T21:48:00.000000000Z,1.27699,1.27704,1.27699,1.27702,37.0
2019-01-07T21:49:00.000000000Z,1.277,1.27702,1.27698,1.277,23.0
2019-01-07T21:50:00.000000000Z,1.277,1.27705,1.277,1.27704,14.0
2019-01-07T21:51:00.000000000Z,1.27705,1.27705,1.27697,1.27703,23.0
2019-01-07T21:52:00.000000000Z,1.27703,1.27707,1.277,1.27703,43.0
2019-01-07T21:53:00.000000000Z,1.27702,1.27707,1.27702,1.27705,40.0
2019-01-07T21:54:00.000000000Z,1.27706,1.27715,1.27704,1.27715,39.0
2019-01-07T21:55:00.000000000Z,1.27715,1.27732,1.27715,1.27726,8.0
2019-01-07T21:56:00.000000000Z,1.27731,1.27736,1.27731,1.27736,2.0
2019-01-07T21:57:00.000000000Z,1.27741,1.27842,1.27741,1.27778,62.0
2019-01-07T21:58:00.000000000Z,1.27773,1.27807,1.27763,1.2779,26.0
2019-01-07T21:59:00.000000000Z,1.27765,1.27858,1.27765,1.27795,61.0
2019-01-07T22:01:00.000000000Z,1.27862,1.27862,1.27836,1.27836,2.0
2019-01-07T22:02:00.000000000Z,1.27836,1.27836,1.27788,1.27816,10.0
2019-01-07T22:03:00.000000000Z,1.27821,1.27826,1.2779,1.2779,5.0
2019-01-07T22:04:00.000000000Z,1.27785,1.27815,1.27785,1.27815,3.0
2019-01-07T22:06:00.000000000Z,1.27833,1.27851,1.27806,1.27806,9.0
2019-01-07T22:07:00.000000000Z,1.27811,1.27853,1.27811,1.27853,5.0
2019-01-07T22:09:00.000000000Z,1.27827,1.27849,1.27827,1.27849,2.0
2019-01-07T22:12:00.000000000Z,1.27827,1.27827,1.27827,1.27827,1.0
2019-01-07T22:14:00.000000000Z,1.27849,1.27849,1.27823,1.27823,2.0
2019-01-07T22:15:00.000000000Z,1.27823,1.27845,1.27818,1.27821,4.0
2019-01-07T22:16:00.000000000Z,1.27845,1.27845,1.27845,1.27845,1.0
2019-01-07T22:18:00.000000000Z,1.2785,1.27873,1.2783,1.2783,9.0
2019-01-07T22:19:00.000000000Z,1.27857,1.27893,1.27834,1.27835,33.0
2019-01-07T22:20:00.000000000Z,1.27862,1.2792,1.27843,1.27886,39.0
2019-01-07T22:21:00.000000000Z,1.27859,1.27859,1.27859,1.27859,1.0
2019-01-07T22:22:00.000000000Z,1.27882,1.27882,1.27858,1.27858,2.0
2019-01-07T22:24:00.000000000Z,1.27883,1.27883,1.27883,1.27883,1.0
2019-01-07T22:25:00.000000000Z,1.2786,1.27885,1.2786,1.27885,2.0
2019-01-07T22:26:00.000000000Z,1.27862,1.27862,1.27862,1.27862,1.0
2019-01-07T22:28:00.000000000Z,1.27857,1.27883,1.27852,1.27852,4.0
2019-01-07T22:29:00.000000000Z,1.27881,1.27881,1.27856,1.27856,2.0
2019-01-07T22:30:00.000000000Z,1.27883,1.2791,1.27873,1.2791,25.0
2019-01-07T22:31:00.000000000Z,1.27883,1.27906,1.27876,1.27876,8.0
2019-01-07T22:32:00.000000000Z,1.27899,1.27899,1.27899,1.27899,1.0
2019-01-07T22:33:00.000000000Z,1.27894,1.27894,1.27894,1.27894,1.0
2019-01-07T22:37:00.000000000Z,1.27871,1.27897,1.27871,1.27897,2.0
2019-01-07T22:38:00.000000000Z,1.27892,1.27892,1.27892,1.27892,1.0
2019-01-07T22:40:00.000000000Z,1.2787,1.2787,1.2787,1.2787,1.0
2019-01-07T22:41:00.000000000Z,1.27893,1.27893,1.27871,1.27871,2.0
2019-01-07T22:42:00.000000000Z,1.27895,1.27895,1.27895,1.27895,1.0
2019-01-07T22:43:00.000000000Z,1.279,1.27917,1.27876,1.27917,9.0
2019-01-07T22:44:00.000000000Z,1.27892,1.27931,1.27886,1.27886,11.0
2019-01-07T22:45:00.000000000Z,1.27881,1.27904,1.27864,1.27904,10.0
2019-01-07T22:46:00.000000000Z,1.2791,1.2791,1.27881,1.27907,5.0
2019-01-07T22:47:00.000000000Z,1.27878,1.27878,1.27878,1.27878,1.0
2019-01-07T22:48:00.000000000Z,1.27906,1.27906,1.27906,1.27906,1.0
2019-01-07T22:55:00.000000000Z,1.27882,1.27882,1.27882,1.27882,1.0
2019-01-07T22:57:00.000000000Z,1.27877,1.27901,1.27872,1.27901,4.0
2019-01-07T23:00:00.000000000Z,1.27875,1.27906,1.27874,1.27884,17.0
2019-01-07T23:01:00.000000000Z,1.27879,1.27915,1.27879,1.27915,4.0
2019-01-07T23:02:00.000000000Z,1.2792,1.27925,1.2792,1.27925,2.0
2019-01-07T23:04:00.000000000Z,1.2792,1.2792,1.27898,1.27898,2.0
2019-01-07T23:05:00.000000000Z,1.27893,1.27912,1.27888,1.27912,3.0
2019-01-07T23:06:00.000000000Z,1.27907,1.27907,1.27902,1.27902,2.0
2019-01-07T23:07:00.000000000Z,1.27897,1.27897,1.27882,1.27887,5.0
2019-01-07T23:08:00.000000000Z,1.2786,1.27865,1.27855,1.27855,6.0
2019-01-07T23:09:00.000000000Z,1.2786,1.2786,1.27855,1.27855,2.0
2019-01-07T23:10:00.000000000Z,1.27855,1.27855,1.27839,1.27848,35.0
2019-01-07T23:11:00.000000000Z,1.27847,1.27849,1.27835,1.27837,98.0
2019-01-07T23:12:00.000000000Z,1.27836,1.27841,1.27836,1.27837,23.0
2019-01-07T23:13:00.000000000Z,1.27838,1.27846,1.27837,1.27846,48.0
2019-01-07T23:14:00.000000000Z,1.27844,1.27846,1.27842,1.27842,34.0
2019-01-07T23:15:00.000000000Z,1.27843,1.2785,1.27842,1.27849,45.0
2019-01-07T23:16:00.000000000Z,1.27849,1.2785,1.27846,1.27848,12.0
2019-01-07T23:17:00.000000000Z,1.27841,1.27844,1.27841,1.27842,12.0
2019-01-07T23:18:00.000000000Z,1.27842,1.2786,1.27842,1.27859,57.0
2019-01-07T23:19:00.000000000Z,1.27858,1.27877,1.27854,1.27877,77.0
2019-01-07T23:20:00.000000000Z,1.27876,1.27877,1.27871,1.27873,45.0
2019-01-07T23:21:00.000000000Z,1.27873,1.27885,1.27873,1.27883,40.0
2019-01-07T23:23:00.000000000Z,1.2788,1.27885,1.27873,1.27874,30.0
2019-01-07T23:24:00.000000000Z,1.27874,1.27876,1.27872,1.27873,24.0
2019-01-07T23:25:00.000000000Z,1.27873,1.27894,1.27872,1.27892,55.0
2019-01-07T23:26:00.000000000Z,1.27893,1.27893,1.27891,1.27891,24.0
2019-01-07T23:27:00.000000000Z,1.27893,1.27893,1.27893,1.27893,4.0
2019-01-07T23:28:00.000000000Z,1.27892,1.27898,1.27892,1.27897,11.0
2019-01-07T23:30:00.000000000Z,1.27888,1.27888,1.27871,1.27872,44.0
2019-01-07T23:31:00.000000000Z,1.27872,1.27876,1.27872,1.27874,58.0
2019-01-07T23:32:00.000000000Z,1.27875,1.27883,1.27873,1.2788,20.0
2019-01-07T23:33:00.000000000Z,1.27881,1.27883,1.27877,1.27883,17.0
2019-01-07T23:34:00.000000000Z,1.27882,1.27885,1.2788,1.27884,24.0
2019-01-07T23:35:00.000000000Z,1.27884,1.27884,1.27883,1.27884,11.0
2019-01-07T23:36:00.000000000Z,1.27883,1.27883,1.27882,1.27883,4.0
2019-01-07T23:37:00.000000000Z,1.27882,1.27886,1.27877,1.27884,33.0
2019-01-07T23:38:00.000000000Z,1.27883,1.27884,1.27883,1.27883,9.0
2019-01-07T23:39:00.000000000Z,1.27883,1.27885,1.27883,1.27884,7.0
2019-01-07T23:40:00.000000000Z,1.27884,1.27885,1.27884,1.27884,11.0
2019-01-07T23:41:00.000000000Z,1.27883,1.27884,1.27882,1.27883,9.0
2019-01-07T23:42:00.000000000Z,1.27884,1.27884,1.27883,1.27884,6.0
2019-01-07T23:43:00.000000000Z,1.27885,1.27887,1.27884,1.27886,22.0
